Category,Subcategory,Item Name,Menu Description,Core Ingredients,Shared Pre-Prep / Components,Primary Equipment,Serving Ware,Target Price ₹,Trial Ceiling ₹,Availability,Best Pairing,Chai ke Saathi,Dietary,Protein Focus,Spice,Menu Status,Actual Portion Cost ₹,Food Cost %,Trial Status,Notes
Slow Mornings,Breakfast,"Bun Makkhan, Kanpur Se",Warm toasted bun with generous salted butter.,"Bun, salted butter",Portion butter; slice buns,OTG / panini grill,7–8 in side plate,79,89,All Day,Smol Chai / Adrak Chai,Yes,Vegetarian,Low,Mild,Core,,0,Pending,Keep deliberately simple; signature nostalgia item.
Slow Mornings,Breakfast,"Oats, Fruit & Yoghurt Bowl","Rolled oats, yoghurt, seasonal fruit, banana, seeds/granola and honey or jaggery.","Rolled oats, yoghurt, banana, seasonal fruit, seeds/granola, honey/jaggery",Portion oats; cut fruit; granola batch,No-cook / microwave optional,9 in universal deep bowl,179,189,All Day,Americano / Iced Coffee,No,Vegetarian; plant-milk adaptable,Medium,None,Core,,0,Pending,Use seasonal fruit only; avoid large fruit inventory.
Slow Mornings,Breakfast,Masala Omelette Breakfast,"Masala omelette with toast, house pickle and crispy herbed potatoes.","Eggs, onion, tomato, chilli, coriander, bread, potatoes, pickle",Chopped omelette mix; herbed potato batch; house pickle,Gas / induction + air fryer,10 in main plate,159,179,All Day,Chai / Coffee,Yes,Egg,High,Medium,Core,,0,Pending,Egg legality/operational permission to be confirmed for exact property.
Slow Mornings,Breakfast,Creamy Cheese Mushroom Omelette,Egg omelette with creamy garlic-herb mushrooms and cheese; toast and slaw.,"Eggs, mushroom, garlic, herbs, cheese, bread, slaw",Creamy mushroom base; slaw,Gas / induction,10 in main plate,189,209,All Day,Cappuccino / Americano,No,Egg; Vegetarian otherwise,High,Mild,Core,,0,Pending,
Slow Mornings,Breakfast,Egg Bhurji Pav,Masala egg bhurji with warm buttered pav and house pickle.,"Eggs, onion, tomato, chilli, coriander, pav, butter, pickle",Bhurji masala base; sliced pav,Gas + grill/OTG,10 in main plate,149,169,All Day,Smol Chai,Yes,Egg,High,Medium,Core,,0,Pending,
Slow Mornings,Breakfast,Paneer Bhurji Pav,Masala paneer bhurji with warm buttered pav and house pickle.,"Paneer, onion, tomato, chilli, coriander, pav, butter, pickle",Bhurji masala base; crumble paneer; sliced pav,Gas + grill/OTG,10 in main plate,159,179,All Day,Smol Chai,Yes,Vegetarian,High,Medium,Core,,0,Pending,
Big Sandwiches,Sandwich,The Smol Triple Decker,"Three-layer toasted sandwich with masala potato, green chutney, vegetables, cheese and creamy paneer spread.","Bread, masala potato, green chutney, tomato, cucumber, cheese, paneer spread",Masala potato; chutney; paneer spread; sliced vegetables,Panini grill / OTG,10 in main plate,199,209,All Day,Chai / Lemonade,Yes,Vegetarian,Medium,Medium,Core,,0,Pending,"Sagar Gaire-inspired format, not copied recipe."
Big Sandwiches,Sandwich,Creamy Cheese Mushroom Decker,"Three-layer sandwich with creamy garlic-herb mushrooms, caramelised onion and melted cheese.","Bread, mushroom, garlic, herbs, onion, cheese",Creamy mushroom base; caramelised onion,Panini grill / OTG,10 in main plate,219,229,All Day,Cappuccino / Iced Tea,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Big Sandwiches,Sandwich,Chickpea Paneer Protein Decker,"Smashed chickpeas, paneer, cucumber, tomato, herbs and yoghurt-chilli spread.","Bread, chickpeas, paneer, cucumber, tomato, yoghurt, herbs, chilli",Cooked chickpeas; chickpea mash; paneer portion; yoghurt spread,Panini grill / OTG,10 in main plate,219,229,All Day,Lemonade / Americano,No,Vegetarian,High,Mild-Medium,Core,,0,Pending,
Big Sandwiches,Sandwich,Bombay Style Sandwich,"Layered Mumbai street-style sandwich with spiced potatoes, cucumber, beetroot, tomato, house mint chutney, butter and melted cheese.","Bread, potato masala, cucumber, beetroot, tomato, green chutney, cheese, butter",Masala potato; mint chutney; sliced vegetables,Panini grill / OTG,10 in main plate,169,179,All Day,Smol Chai,Yes,Vegetarian,Low-Medium,Medium,Core,,0,Pending,
Big Sandwiches,Sandwich,Paneer Veg Sandwich,"Grilled artisanal sandwich loaded with spiced cottage cheese cubes, crunchy bell peppers, sweet corn, melted mozzarella and tangy mint spread.","Bread, paneer, bell peppers, corn, onion, mozzarella, mint chutney, house spices",Spiced paneer marinade; chopped bell peppers; mint chutney,Panini grill / OTG,10 in main plate,189,199,All Day,Classic Cold Coffee / Smol Chai,Yes,Vegetarian,High,Medium,Core,,0,Pending,
Bowls & Comfort,Comfort Bowl,Ghar Wali Dal Khichdi,"Moong dal and rice khichdi with ghee tadka; yoghurt, pickle and papad.","Moong dal, rice, ghee, cumin, garlic, yoghurt, pickle, papad",Cooked khichdi base; tadka mise en place,Pressure cooker / gas,9 in universal deep bowl,149,159,All Day,Chaas / Chai,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Bowls & Comfort,Comfort Bowl,Dal Chawal Bowl,"Homestyle dal, steamed rice, ghee tadka, pickled onion and papad.","Dal, rice, ghee, garlic, cumin, pickled onion, papad",Cooked dal; steamed rice; tadka; pickled onion,Gas / induction,9 in universal deep bowl,149,159,All Day,Masala Chaas,No,Vegetarian,Medium-High,Mild-Medium,Core,,0,Pending,
Bowls & Comfort,Comfort Bowl,Rajma Rice Bowl,"Slow-cooked Kashmiri rajma in spiced onion-tomato gravy served with fragrant steamed rice, pickled onions, creamy curd and crisp papad crunch.","Rajma, basmati rice, tomato-onion masala, yoghurt, pickled onion, papad crunch",Soaked/cooked rajma; homestyle gravy; steamed basmati rice,Gas / pressure cooker,9 in universal deep bowl,159,169,All Day,Chaas / Lime Soda,No,Vegetarian,High,Medium,Core,,0,Pending,
Bowls & Comfort,Protein Bowl,Kadai Paneer Rice Bowl,"Succulent paneer cubes and crunchy bell peppers tossed in fresh-ground kadai masala gravy, served over fragrant jeera rice with pickled onions and mint raita.","Paneer, bell peppers, tomato-onion kadai gravy, jeera rice, cumin, coriander seeds, pickled onion",Kadai masala gravy; paneer cubes; jeera rice; pickled onion,Gas / wok,9 in universal deep bowl,199,209,All Day,Masala Chaas / Buransh Fizz,No,Vegetarian,High,Medium,Core,,0,Pending,
Bowls & Comfort,Comfort Bowl,Jeera Rice Bowl,"Aromatic basmati rice tempered with pure desi ghee and toasted cumin, served with homestyle dal tadka, cucumber raita and crisp papad.","Basmati rice, cumin, desi ghee, yellow dal tadka, cucumber raita, papad, pickle",Jeera rice; yellow dal; raita; roasted papad,Gas / pressure cooker,9 in universal deep bowl,139,149,All Day,Masala Chaas / Smol Chai,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Bowls & Comfort,Protein Bowl,Chana Crunch Bowl,"Spiced chickpeas, rice, cucumber, tomato, slaw, mint yoghurt and crispy chana.","Chickpeas, rice, cucumber, tomato, cabbage/carrot slaw, yoghurt, mint, spices",Cooked chickpeas; crispy chana batch; slaw; mint yoghurt; rice,Gas + air fryer,9 in universal deep bowl,169,179,All Day,Lemonade / Chaas,No,Vegetarian,High,Medium,Core,,0,Pending,
Bowls & Comfort,Protein Bowl,Smoky Paneer Rice Bowl,"Smoky paneer, rice, roasted vegetables, cucumber, pickled onion and mint yoghurt.","Paneer, rice, seasonal vegetables, cucumber, pickled onion, yoghurt, mint",Paneer marinade; roasted veg; mint yoghurt; pickled onion; rice,Gas / OTG,9 in universal deep bowl,199,209,All Day,Iced Tea / Lime Soda,No,Vegetarian,High,Medium,Core,,0,Pending,
